ls,min_temp,max_temp,pressure,storming
170,-75.0,-5.0,748.0,False
169,-74.0,-3.0,746.0,False
169,-74.0,-4.0,745.0,False
168,-75.0,-2.0,746.0,False
168,-74.0,-1.0,744.0,False
167,-73.0,1.0,742.0,False
167,-74.0,-16.0,743.0,False
166,-74.0,-14.0,743.0,False
165,-75.0,-15.0,740.0,False
165,-74.0,-15.0,739.0,False
164,-74.0,-16.0,740.0,False
164,-75.0,-14.0,740.0,False
163,-74.0,-17.0,739.0,False
163,-75.0,-16.0,739.0,False
162,-76.0,-16.0,739.0,False
162,-76.0,-13.0,739.0,False
161,-74.0,-16.0,738.0,False
160,-72.0,-16.0,738.0,False
160,-74.0,-5.0,739.0,False
159,-75.0,-11.0,740.0,False
159,-75.0,-5.0,739.0,False
158,-76.0,-6.0,737.0,False
158,-73.0,-6.0,736.0,False
157,-72.0,-12.0,739.0,False
157,-73.0,-9.0,738.0,False
156,-73.0,-9.0,737.0,False
156,-76.0,-15.0,735.0,False
155,-75.0,-16.0,736.0,False
155,-75.0,-16.0,737.0,False
154,-75.0,-19.0,735.0,True
153,-75.0,-14.0,734.0,True
153,-74.0,-8.0,735.0,True
152,-80.0,-7.0,735.0,False
152,-76.0,-9.0,735.0,False
151,-76.0,-15.0,734.0,False
151,-77.0,-18.0,733.0,False
150,-75.0,-18.0,734.0,False
150,-76.0,-13.0,734.0,False
149,-75.0,-12.0,732.0,False
149,-77.0,-10.0,732.0,False
148,-77.0,-12.0,732.0,False
148,-76.0,-18.0,733.0,False
147,-78.0,-11.0,734.0,False
147,-76.0,-19.0,734.0,False
146,-78.0,-14.0,734.0,False
146,-74.0,-15.0,735.0,False
145,-77.0,-12.0,735.0,False
145,-76.0,-11.0,736.0,False
144,-77.0,-15.0,738.0,False
144,-78.0,-14.0,738.0,False
143,-78.0,-9.0,738.0,False
142,-77.0,-11.0,738.0,False
142,-78.0,-10.0,740.0,False
141,-77.0,-15.0,740.0,False
141,-77.0,-11.0,741.0,False
140,-78.0,-8.0,742.0,False
140,-80.0,-15.0,743.0,False
139,-80.0,-15.0,743.0,False
139,-80.0,-20.0,744.0,False
138,-77.0,-14.0,744.0,False
138,-78.0,-14.0,744.0,False
137,-77.0,-14.0,745.0,False
137,-77.0,-12.0,745.0,False
136,-78.0,-11.0,745.0,False
136,-76.0,-15.0,745.0,False
135,-81.0,-19.0,747.0,False
135,-81.0,-23.0,748.0,False
134,-80.0,-27.0,748.0,False
134,-79.0,-23.0,748.0,False
133,-80.0,-21.0,749.0,False
133,-80.0,-22.0,750.0,False
132,-78.0,-26.0,751.0,False
132,-80.0,-24.0,751.0,False
131,-78.0,-20.0,752.0,False
131,-79.0,-16.0,752.0,False
130,-80.0,-19.0,753.0,False
130,-79.0,-17.0,755.0,False
129,-80.0,-24.0,755.0,False
129,-79.0,-25.0,756.0,False
128,-79.0,-20.0,757.0,False
128,-79.0,-16.0,758.0,False
127,-81.0,-21.0,758.0,False
127,-81.0,-22.0,760.0,False
126,-80.0,-21.0,760.0,False
125,-80.0,-16.0,763.0,False
124,-80.0,-18.0,764.0,False
124,-80.0,-19.0,765.0,False
123,-80.0,-13.0,766.0,False
123,-80.0,-21.0,767.0,False
123,-82.0,-20.0,767.0,False
122,-81.0,-16.0,768.0,False
122,-83.0,-22.0,769.0,False
121,-84.0,-23.0,771.0,False
121,-83.0,-29.0,772.0,False
120,-83.0,-29.0,773.0,False
120,-84.0,-28.0,774.0,False
119,-83.0,-20.0,774.0,False
119,-82.0,-17.0,775.0,False
118,-82.0,-17.0,777.0,False
118,-79.0,-19.0,778.0,False
117,-81.0,-23.0,780.0,False
117,-84.0,-22.0,781.0,False
116,-82.0,-18.0,782.0,False
116,-83.0,-17.0,782.0,False
115,-83.0,-24.0,784.0,False
115,-83.0,-24.0,786.0,False
114,-82.0,-27.0,787.0,False
114,-81.0,-28.0,787.0,False
113,-84.0,-27.0,787.0,False
113,-84.0,-29.0,788.0,False
112,-81.0,-29.0,790.0,False
112,-81.0,-25.0,790.0,False
112,-83.0,-23.0,792.0,False
111,-84.0,-25.0,794.0,False
111,-83.0,-23.0,794.0,False
110,-84.0,-21.0,794.0,False
110,-84.0,-27.0,797.0,False
109,-84.0,-25.0,798.0,False
109,-84.0,-29.0,799.0,False
108,-85.0,-26.0,800.0,False
108,-85.0,-31.0,802.0,False
107,-85.0,-27.0,803.0,False
107,-85.0,-28.0,804.0,False
106,-85.0,-32.0,806.0,False
106,-86.0,-23.0,807.0,False
105,-85.0,-25.0,809.0,False
105,-85.0,-25.0,810.0,False
105,-86.0,-26.0,811.0,False
104,-85.0,-26.0,812.0,False
104,-86.0,-26.0,814.0,False
103,-87.0,-26.0,815.0,False
103,-87.0,-28.0,816.0,False
102,-87.0,-24.0,816.0,False
102,-89.0,-26.0,818.0,False
101,-87.0,-26.0,819.0,False
101,-88.0,-29.0,820.0,False
100,-87.0,-26.0,822.0,False
100,-88.0,-28.0,824.0,False
99,-88.0,-26.0,824.0,False
99,-88.0,-27.0,826.0,False
99,-88.0,-28.0,827.0,False
98,-88.0,-26.0,828.0,False
98,-88.0,-26.0,830.0,False
97,-88.0,-26.0,831.0,False
97,-88.0,-28.0,832.0,False
96,-88.0,-26.0,833.0,False
96,-87.0,-24.0,835.0,False
95,-87.0,-28.0,836.0,False
95,-88.0,-29.0,837.0,False
94,-88.0,-26.0,839.0,False
94,-87.0,-28.0,840.0,False
93,-87.0,-28.0,841.0,False
93,-87.0,-28.0,842.0,False
93,-87.0,-27.0,844.0,False
92,-86.0,-32.0,845.0,False
92,-88.0,-27.0,846.0,False
91,-86.0,-28.0,847.0,False
91,-85.0,-27.0,848.0,False
90,-85.0,-24.0,849.0,False
90,-84.0,-27.0,851.0,False
89,-86.0,-28.0,851.0,False
89,-83.0,-22.0,853.0,False
88,-85.0,-23.0,854.0,False
88,-85.0,-24.0,855.0,False
88,-85.0,-24.0,857.0,False
87,-85.0,-25.0,858.0,False
87,-85.0,-24.0,859.0,False
86,-86.0,-26.0,861.0,False
86,-84.0,-25.0,862.0,False
85,-85.0,-23.0,863.0,False
85,-85.0,-22.0,864.0,False
84,-85.0,-29.0,866.0,False
84,-84.0,-27.0,866.0,False
84,-86.0,-29.0,868.0,False
83,-86.0,-23.0,868.0,False
83,-85.0,-26.0,869.0,False
82,-86.0,-27.0,871.0,False
82,-86.0,-32.0,872.0,False
81,-84.0,-29.0,873.0,False
81,-84.0,-28.0,875.0,False
80,-86.0,-24.0,876.0,False
80,-87.0,-28.0,876.0,False
79,-87.0,-29.0,877.0,False
79,-87.0,-24.0,879.0,False
79,-90.0,-31.0,881.0,False
78,-84.0,-29.0,881.0,False
